FIELD,YEAR,MONTH,PRODUCTION
's-Gravenzande,2013,AUG,6205.578629185
's-Gravenzande,2013,DEC,8237.7890384
's-Gravenzande,2013,FEB,10654.42840717
's-Gravenzande,2013,JAN,12430.743865175002
's-Gravenzande,2013,JUL,5992.09653555
's-Gravenzande,2013,JUN,4202.622067835
's-Gravenzande,2013,MAR,10866.32496356
's-Gravenzande,2013,MAY,10498.916002615
's-Gravenzande,2013,NOV,4870.45183231
's-Gravenzande,2013,OCT,8832.629234025
's-Gravenzande,2013,SEP,9820.88099043
's-Gravenzande,2014,APR,6165.81571809
's-Gravenzande,2014,AUG,7420.311141855001
's-Gravenzande,2014,DEC,6301.1454888650005
's-Gravenzande,2014,FEB,6923.15607523
's-Gravenzande,2014,JAN,7662.226359485001
's-Gravenzande,2014,JUL,2197.07779999
's-Gravenzande,2014,JUN,1600.083467935
's-Gravenzande,2014,MAR,7176.61417279
's-Gravenzande,2014,MAY,4968.3827565050005
's-Gravenzande,2014,NOV,6226.58304175
's-Gravenzande,2014,OCT,1207.627660145
's-Gravenzande,2014,SEP,7107.51302063
's-Gravenzande,2015,APR,2565.95836736
's-Gravenzande,2015,AUG,725.596909875
's-Gravenzande,2015,DEC,1103.857781425
's-Gravenzande,2015,FEB,6039.897898945001
's-Gravenzande,2015,JAN,7401.841690035001
's-Gravenzande,2015,JUL,778.8595682250001
's-Gravenzande,2015,JUN,938.725606985
's-Gravenzande,2015,MAR,685.88252487
's-Gravenzande,2015,MAY,4177.3716223950005
's-Gravenzande,2015,NOV,1232.13861017
's-Gravenzande,2015,OCT,193.168650395
's-Gravenzande,2015,SEP,1346.55891073
's-Gravenzande,2016,APR,5363.245880325
's-Gravenzande,2016,AUG,7553.78426223
's-Gravenzande,2016,DEC,4912.292925955
's-Gravenzande,2016,FEB,888.193068655
's-Gravenzande,2016,JAN,1115.47977998
's-Gravenzande,2016,JUL,7534.5616011
's-Gravenzande,2016,JUN,7237.239082925
's-Gravenzande,2016,MAR,548.9281849949999
's-Gravenzande,2016,MAY,4606.4551339
's-Gravenzande,2016,NOV,5312.599411175001
's-Gravenzande,2016,OCT,6679.2460133350005
's-Gravenzande,2016,SEP,6779.23191195
's-Gravenzande,2017,APR,5815.587102835
's-Gravenzande,2017,AUG,20.8240221
's-Gravenzande,2017,DEC,6713.9411127700005
's-Gravenzande,2017,FEB,5910.10010243
's-Gravenzande,2017,JAN,6146.06559946
's-Gravenzande,2017,JUL,1173.083413555
's-Gravenzande,2017,JUN,845.534415885
's-Gravenzande,2017,MAR,7393.932992280001
's-Gravenzande,2017,MAY,4043.97023624
's-Gravenzande,2017,NOV,3488.735769375
's-Gravenzande,2017,OCT,0.0
's-Gravenzande,2017,SEP,0.0
's-Gravenzande,2018,APR,2025.23425632
's-Gravenzande,2018,AUG,448.297733315
's-Gravenzande,2018,DEC,4012.465199765
's-Gravenzande,2018,FEB,5150.896765400001
's-Gravenzande,2018,JAN,5716.63502092
's-Gravenzande,2018,JUL,1360.702156135
's-Gravenzande,2018,JUN,5268.228631360001
's-Gravenzande,2018,MAR,3895.133333805
's-Gravenzande,2018,MAY,3290.20393112
's-Gravenzande,2018,NOV,3869.806934485
's-Gravenzande,2018,OCT,3947.39698765
's-Gravenzande,2018,SEP,1.9199453
's-Gravenzande,2019,APR,4182.08603753
's-Gravenzande,2019,AUG,2044.85145566
's-Gravenzande,2019,DEC,3221.83910963
's-Gravenzande,2019,FEB,4004.380331205
's-Gravenzande,2019,JAN,4829.501086925001
's-Gravenzande,2019,JUL,2433.79861616
's-Gravenzande,2019,JUN,2782.76660799
's-Gravenzande,2019,MAR,3040.447530295
's-Gravenzande,2019,MAY,4447.57227592
's-Gravenzande,2019,NOV,3307.3589588500004
's-Gravenzande,2019,OCT,3073.147785465
's-Gravenzande,2019,SEP,3657.397689405
's-Gravenzande,2020,APR,1022.75064165
's-Gravenzande,2020,AUG,1533.9181442200002
's-Gravenzande,2020,DEC,0.0
's-Gravenzande,2020,FEB,0.0
's-Gravenzande,2020,JAN,869.0664047900001
's-Gravenzande,2020,JUL,1634.098147195
's-Gravenzande,2020,JUN,0.0
's-Gravenzande,2020,MAR,0.0
's-Gravenzande,2020,MAY,2687.88333323
's-Gravenzande,2020,NOV,0.0
's-Gravenzande,2020,OCT,0.0
's-Gravenzande,2020,SEP,248.06537208
's-Gravenzande,2021,APR,495.829
's-Gravenzande,2021,AUG,2896.799
's-Gravenzande,2021,DEC,0.0
's-Gravenzande,2021,FEB,3580.028
's-Gravenzande,2021,JAN,2954.514
's-Gravenzande,2021,JUL,0.0
's-Gravenzande,2021,JUN,0.0
's-Gravenzande,2021,MAR,2907.591
's-Gravenzande,2021,MAY,0.0
's-Gravenzande,2021,NOV,0.0
's-Gravenzande,2021,OCT,0.0
's-Gravenzande,2021,SEP,1671.618
A12-FA,2007,APR,0.0
A12-FA,2007,AUG,0.0
A12-FA,2007,DEC,7977.967157663179
A12-FA,2007,FEB,0.0
A12-FA,2007,JAN,0.0
A12-FA,2007,JUL,0.0
A12-FA,2007,JUN,0.0
A12-FA,2007,MAR,0.0
A12-FA,2007,MAY,0.0
A12-FA,2007,NOV,0.0
A12-FA,2007,OCT,0.0
A12-FA,2007,SEP,0.0
A12-FA,2008,APR,115440.28127124775
A12-FA,2008,AUG,100620.55749507605
A12-FA,2008,DEC,103888.38882579809
A12-FA,2008,FEB,94878.40982642806
A12-FA,2008,JAN,53915.470096629986
A12-FA,2008,JUL,103198.41879118505
A12-FA,2008,JUN,93764.35036923525
A12-FA,2008,MAR,86161.25034877795
A12-FA,2008,MAY,115843.12891483837
A12-FA,2008,NOV,99916.77444986929
A12-FA,2008,OCT,87530.55296106935
A12-FA,2008,SEP,102044.27889105592
A12-FA,2009,APR,79795.78936024297
A12-FA,2009,AUG,87974.80739475758
A12-FA,2009,DEC,101876.25919304526
A12-FA,2009,FEB,105748.41877891986
A12-FA,2009,JAN,118547.32192388279
