YEAR,PRODUCTION
2003,61391523.66020725
2004,68944433.76163709
2005,64934840.70109013
2006,64349176.07527266
2007,62436373.11435502
2008,74274105.65989079
2009,68541953.91258287
2010,81438524.21574818
2011,75038659.18152763
2012,74915639.39790711
2013,80927874.08569083
2014,66520207.73028027
2015,49359696.219917424
2016,47560817.586794384
2017,41316010.40948819
2018,34439734.849690594
2019,29031423.942604806
2020,20783039.049953017
2021,13822850.29300003
