,YEAR,FIELD,PRODUCTION,pct_share
150,2021,L01-A,16511202.0,0.1
151,2021,L02-FA,34447125.0,0.2
152,2021,L02-FB,143803681.0,1.0
153,2021,L04-A,14392364.0,0.1
154,2021,L04-B,0.0,0.0
155,2021,L04-D,19.0,0.0
156,2021,L04-F,8699952.0,0.1
157,2021,L04-I,10132941.0,0.1
158,2021,L05-B,13381041.0,0.1
159,2021,L05-C,2359673.0,0.0
160,2021,L05a-A,42347945.0,0.3
161,2021,L05a-D,333983179.0,2.4
162,2021,L06-B,29684637.0,0.2
163,2021,L07-A,0.0,0.0
164,2021,L07-B,0.0,0.0
165,2021,L07-C,0.0,0.0
166,2021,L07-G,0.0,0.0
167,2021,L07-H,0.0,0.0
168,2021,L07-H South-East,0.0,0.0
169,2021,L07-N,0.0,0.0
170,2021,L08-D,39249878.0,0.3
171,2021,L08-P,13265998.0,0.1
172,2021,L09-FA,29839598.0,0.2
173,2021,L09-FB,3846964.0,0.0
174,2021,L09-FC,0.0,0.0
175,2021,L09-FD,43166308.0,0.3
176,2021,L09-FE,0.0,0.0
177,2021,L09-FF,0.0,0.0
178,2021,L09-FI,44465443.0,0.3
179,2021,L09-FK,69276512.0,0.5
180,2021,L09-FL,32012.0,0.0
181,2021,L09-FM,0.0,0.0
182,2021,L10-CDA,51862747.0,0.4
183,2021,L10-M,1300749.0,0.0
184,2021,L10-N,5128516.0,0.0
185,2021,L11-Gillian,31997488.0,0.2
186,2021,L12b-C,4618103.0,0.0
187,2021,L13-FC,40888355.0,0.3
188,2021,L13-FD,0.0,0.0
189,2021,L13-FE,35712547.0,0.3
190,2021,L13-FF,40950886.0,0.3
191,2021,L13-FG,14240467.0,0.1
192,2021,L13-FI,63605280.0,0.5
193,2021,L15b-A,32306346.0,0.2
194,2021,Langezwaag,10673447.0,0.1
195,2021,Lauwersoog,135814469.0,1.0
196,2021,Leens,30562404.0,0.2
197,2021,Leeuwarden-Nijega,12165077.0,0.1
198,2021,Loon op Zand,1380336.0,0.0
199,2021,Loon op Zand-Zuid,0.0,0.0
200,2021,M07-A,24148614.0,0.2
201,2021,Maasdijk,8764973.0,0.1
202,2021,Markham,11763046.0,0.1
203,2021,Marum,70170811.0,0.5
204,2021,Metslawier,0.0,0.0
205,2021,Metslawier-Zuid,17806.0,0.0
206,2021,Middelburen,747537.0,0.0
207,2021,Middelie,103185049.0,0.7
208,2021,Middenmeer,0.0,0.0
209,2021,Moddergat,141787987.0,1.0
210,2021,Molenpolder,8087242.0,0.1
211,2021,Monster,2504286.0,0.0
212,2021,Munnekezijl,15650302.0,0.1
213,2021,N07-FA,40687853.0,0.3
214,2021,Nes,352902685.0,2.6
215,2021,Nijensleek,0.0,0.0
216,2021,Noorderdam,4127.0,0.0
217,2021,Noordwolde,4243822.0,0.0
218,2021,Oldelamer,0.0,0.0
219,2021,Oosterhesselen,11503894.0,0.1
220,2021,Oostrum,5821360.0,0.0
221,2021,Opeinde,1202245.0,0.0
222,2021,Opeinde-Zuid,4113994.0,0.0
223,2021,Opende-Oost,11735418.0,0.1
224,2021,Oud-Beijerland Noord,0.0,0.0
225,2021,Oud-Beijerland Zuid,547767.0,0.0
226,2021,Oude Pekela,12886101.0,0.1
227,2021,Oudeland,6916744.0,0.1
228,2021,Oudendijk,0.0,0.0
229,2021,P06-Main,12527760.0,0.1
230,2021,P09-A,0.0,0.0
231,2021,P09-B,0.0,0.0
232,2021,P11b-De Ruyter,7810559.0,0.1
233,2021,P11b-Van Ghent,64656.00000000001,0.0
234,2021,P15 Rijn,1795335.0,0.0
235,2021,Pasop,0.0,0.0
236,2021,Pernis,52562864.0,0.4
237,2021,Pernis-West,45775949.0,0.3
238,2021,Pieterzijl Oost,16115147.0,0.1
239,2021,Q01-B,66898371.0,0.5
240,2021,Q01-D,113546065.0,0.8
241,2021,Q04-A,7270392.0,0.1
242,2021,Q04-B,8418353.0,0.1
243,2021,Q10-A,287481429.0,2.1
244,2021,Q13a-Amstel,1496924.0,0.0
245,2021,Q16-FA,22627632.0,0.2
246,2021,Q16-Maasmond (Charlie-North),25795020.0,0.2
247,2021,Reedijk,9269174.0,0.1
248,2021,Ried,13.0,0.0
249,2021,Rotterdam,3110517.0,0.0
250,2021,Rustenburg,6049804.0,0.0
251,2021,Saaksum,27831458.0,0.2
252,2021,Schermer,0.0,0.0
253,2021,Schoonebeek Gas,7807132.0,0.1
